ad_id,campaign_id,ad_platform,ad_type,target_gender,target_age_group,target_interests
80,46,ThemyAd.com,Stories,Male,35-44,lifestyle
81,29,TheyourAd.com,Carousel,All,25-34,"fitness, photography"
82,24,ThemyAd.com,Stories,Female,18-24,food
83,29,ThemyAd.com,Video,All,All,"health, art"
84,8,ThemyAd.com,Image,Female,35-44,health
85,20,ThemyAd.com,Carousel,Female,18-24,"finance, sports"
86,20,ThemyAd.com,Image,Female,All,"fashion, gaming"
87,31,TheyourAd.com,Image,All,18-24,"health, fashion"
88,20,ThemyAd.com,Image,Female,25-34,"news, travel"
89,1,ThemyAd.com,Carousel,Female,25-34,finance
90,18,TheyourAd.com,Stories,Male,35-44,"fitness, gaming"
91,37,ThemyAd.com,Video,All,18-24,"travel, gaming"
92,4,ThemyAd.com,Carousel,Female,35-44,gaming
93,34,TheyourAd.com,Carousel,Male,All,fashion
94,14,ThemyAd.com,Video,Female,35-44,news
95,36,TheyourAd.com,Image,All,25-34,fashion
96,24,ThemyAd.com,Stories,Male,35-44,news
97,45,TheyourAd.com,Image,All,25-34,"health, sports"
98,3,ThemyAd.com,Stories,Female,18-24,"sports, finance"
99,8,ThemyAd.com,Image,Female,35-44,"photography, fitness"
100,50,TheyourAd.com,Image,Female,25-34,"art, photography"
101,42,ThemyAd.com,Video,All,18-24,art
102,46,ThemyAd.com,Image,All,25-34,"food, fashion"
103,22,ThemyAd.com,Stories,Female,35-44,"health, fitness"
104,20,ThemyAd.com,Carousel,All,18-24,food
105,25,TheyourAd.com,Image,All,35-44,art
106,22,ThemyAd.com,Stories,Female,All,"news, fashion"
107,25,TheyourAd.com,Carousel,All,25-34,fashion
108,37,ThemyAd.com,Carousel,Male,18-24,photography
109,8,ThemyAd.com,Stories,All,35-44,"travel, fashion"
110,23,TheyourAd.com,Image,Male,18-24,"fitness, finance"
111,42,ThemyAd.com,Stories,Female,All,lifestyle
112,15,ThemyAd.com,Video,All,35-44,food
113,15,TheyourAd.com,Image,Female,18-24,"fitness, finance"
114,38,ThemyAd.com,Stories,Female,18-24,"news, health"
115,24,ThemyAd.com,Carousel,Female,All,"lifestyle, technology"
116,4,ThemyAd.com,Video,All,All,lifestyle
117,42,ThemyAd.com,Stories,All,18-24,"finance, travel"
118,8,ThemyAd.com,Stories,All,All,"health, sports"
119,44,TheyourAd.com,Carousel,All,35-44,health
120,17,ThemyAd.com,Image,Male,All,news
121,25,ThemyAd.com,Video,Male,35-44,news
122,10,ThemyAd.com,Stories,All,35-44,health
123,33,ThemyAd.com,Carousel,All,18-24,"finance, sports"
124,34,TheyourAd.com,Image,Female,All,"technology, lifestyle"
125,32,TheyourAd.com,Carousel,Female,18-24,photography
126,38,ThemyAd.com,Carousel,All,25-34,art
127,47,ThemyAd.com,Stories,Female,All,"gaming, travel"
128,41,TheyourAd.com,Carousel,Male,18-24,"fitness, art"
129,10,ThemyAd.com,Carousel,Female,35-44,sports
130,22,ThemyAd.com,Image,Female,25-34,food
131,17,ThemyAd.com,Image,Male,25-34,photography
132,1,ThemyAd.com,Carousel,Female,18-24,news
133,30,ThemyAd.com,Video,Male,All,"technology, health"
134,25,ThemyAd.com,Image,Female,All,"health, gaming"
135,47,TheyourAd.com,Stories,Male,18-24,sports
136,7,ThemyAd.com,Stories,Female,35-44,fashion
137,7,ThemyAd.com,Image,Female,All,health
138,7,TheyourAd.com,Stories,All,18-24,food
139,12,ThemyAd.com,Stories,Male,18-24,photography
140,2,ThemyAd.com,Image,Female,All,photography
141,44,TheyourAd.com,Stories,Male,35-44,travel
142,29,ThemyAd.com,Image,All,All,"finance, news"
143,10,ThemyAd.com,Stories,Female,35-44,"health, fitness"
144,34,TheyourAd.com,Stories,Female,18-24,"fitness, health"
145,20,ThemyAd.com,Carousel,Male,25-34,travel
146,4,ThemyAd.com,Video,Female,All,gaming
147,38,ThemyAd.com,Carousel,All,35-44,finance
148,8,ThemyAd.com,Carousel,Male,All,"finance, photography"
149,11,ThemyAd.com,Stories,All,18-24,"health, fitness"
150,24,ThemyAd.com,Carousel,All,All,sports
151,34,ThemyAd.com,Carousel,All,35-44,fashion
152,24,TheyourAd.com,Carousel,Male,18-24,"gaming, news"
153,46,ThemyAd.com,Video,All,18-24,photography
154,27,TheyourAd.com,Stories,Female,All,"fitness, technology"
155,30,ThemyAd.com,Video,All,25-34,food
156,33,TheyourAd.com,Video,Female,18-24,"fitness, health"
157,32,TheyourAd.com,Stories,Male,All,"news, sports"
158,24,TheyourAd.com,Carousel,Female,18-24,fashion
159,13,TheyourAd.com,Stories,All,25-34,"finance, travel"
160,42,TheyourAd.com,Stories,All,25-34,"news, art"
161,15,ThemyAd.com,Image,Female,18-24,"art, finance"
162,6,TheyourAd.com,Carousel,All,35-44,gaming
163,29,ThemyAd.com,Carousel,Female,25-34,photography
164,25,TheyourAd.com,Stories,Male,25-34,fashion
165,6,ThemyAd.com,Carousel,Male,25-34,gaming
166,14,TheyourAd.com,Image,All,All,fashion
167,42,TheyourAd.com,Carousel,All,25-34,art
168,39,ThemyAd.com,Image,Male,All,"travel, finance"
169,17,ThemyAd.com,Video,Female,All,art
170,40,TheyourAd.com,Image,Male,35-44,sports
171,13,TheyourAd.com,Stories,Male,All,health
172,9,ThemyAd.com,Stories,Female,18-24,fitness
173,47,ThemyAd.com,Stories,Male,All,"gaming, food"
174,27,ThemyAd.com,Carousel,Female,35-44,"travel, finance"
175,3,ThemyAd.com,Image,Male,25-34,"lifestyle, fitness"
176,13,TheyourAd.com,Video,All,25-34,technology
177,46,TheyourAd.com,Carousel,Female,35-44,travel
178,24,ThemyAd.com,Stories,All,18-24,art
179,5,TheyourAd.com,Stories,All,35-44,art
180,47,TheyourAd.com,Image,Male,18-24,"finance, sports"
181,37,TheyourAd.com,Stories,Male,35-44,"gaming, art"
182,44,TheyourAd.com,Image,Female,35-44,"fashion, news"
183,20,TheyourAd.com,Stories,All,All,gaming
184,40,TheyourAd.com,Image,Male,25-34,travel
185,36,TheyourAd.com,Carousel,Female,All,"sports, food"
186,9,ThemyAd.com,Carousel,All,All,fitness
187,31,ThemyAd.com,Image,All,25-34,art
188,9,TheyourAd.com,Image,Female,18-24,"sports, health"
189,41,ThemyAd.com,Image,All,All,"fashion, technology"
190,33,ThemyAd.com,Image,Male,18-24,"photography, technology"
191,19,ThemyAd.com,Image,All,25-34,lifestyle
192,47,ThemyAd.com,Carousel,Female,35-44,fashion
193,5,TheyourAd.com,Carousel,All,25-34,finance
194,41,ThemyAd.com,Image,All,18-24,"food, travel"
195,9,TheyourAd.com,Carousel,Female,35-44,"technology, fashion"
196,12,ThemyAd.com,Stories,Male,35-44,"gaming, sports"
197,9,ThemyAd.com,Stories,All,All,"lifestyle, gaming"
198,34,ThemyAd.com,Video,All,35-44,"fitness, lifestyle"
199,15,TheyourAd.com,Video,Male,25-34,"art, news"
200,44,TheyourAd.com,Carousel,Male,18-24,photography
